timestamp, orientation_x, orientation_y, joystick_action, joystick_state
"Sat Sep 16 10:54:12 2023
", -30.73, -1.63, none, none
"Sat Sep 16 10:54:12 2023
", -35.35, -5.22, none, none
"Sat Sep 16 10:54:12 2023
", -39.18, -8.71, none, none
"Sat Sep 16 10:54:12 2023
", -43.07, -11.63, none, none
"Sat Sep 16 10:54:12 2023
", -48.16, -13.77, none, none
"Sat Sep 16 10:54:12 2023
", -54.69, -15.42, none, none
"Sat Sep 16 10:54:13 2023
", -60.87, -16.62, none, none
"Sat Sep 16 10:54:13 2023
", -65.07, -16.85, none, none
"Sat Sep 16 10:54:13 2023
", -67.43, -16.49, none, none
"Sat Sep 16 10:54:13 2023
", -68.47, -15.66, none, none
"Sat Sep 16 10:54:13 2023
", -68.59, -15.20, none, none
"Sat Sep 16 10:54:13 2023
", -68.87, -15.13, none, none
"Sat Sep 16 10:54:13 2023
", -70.53, -15.78, none, none
"Sat Sep 16 10:54:13 2023
", -72.68, -16.51, none, none
"Sat Sep 16 10:54:13 2023
", -75.13, -16.80, none, none
"Sat Sep 16 10:54:13 2023
", -77.30, -17.03, none, none
"Sat Sep 16 10:54:13 2023
", -78.74, -17.00, none, none
"Sat Sep 16 10:54:13 2023
", -79.67, -16.79, none, none
"Sat Sep 16 10:54:13 2023
", -80.75, -16.52, none, none
"Sat Sep 16 10:54:13 2023
", -82.11, -16.21, none, none
"Sat Sep 16 10:54:13 2023
", -82.92, -15.98, none, none
"Sat Sep 16 10:54:13 2023
", -83.64, -15.97, none, none
"Sat Sep 16 10:54:13 2023
", -84.06, -16.02, none, none
"Sat Sep 16 10:54:13 2023
", -84.51, -16.12, none, none
"Sat Sep 16 10:54:13 2023
", -84.65, -16.19, none, none
"Sat Sep 16 10:54:13 2023
", -84.70, -16.21, none, none
"Sat Sep 16 10:54:13 2023
", -84.68, -16.25, none, none
"Sat Sep 16 10:54:13 2023
", -84.58, -16.25, none, none
"Sat Sep 16 10:54:13 2023
", -84.65, -16.23, none, none
"Sat Sep 16 10:54:13 2023
", -84.76, -16.26, none, none
"Sat Sep 16 10:54:13 2023
", -85.00, -16.31, none, none
"Sat Sep 16 10:54:13 2023
", -85.43, -16.29, none, none
"Sat Sep 16 10:54:13 2023
", -86.75, -16.25, none, none
"Sat Sep 16 10:54:13 2023
", -89.26, -16.37, none, none
"Sat Sep 16 10:54:13 2023
", -92.14, -16.67, none, none
"Sat Sep 16 10:54:13 2023
", -94.58, -17.38, none, none
"Sat Sep 16 10:54:13 2023
", -96.25, -18.07, none, none
"Sat Sep 16 10:54:13 2023
", -97.55, -18.78, none, none
"Sat Sep 16 10:54:13 2023
", -98.42, -19.55, none, none
"Sat Sep 16 10:54:13 2023
", -99.12, -19.85, none, none
"Sat Sep 16 10:54:13 2023
", -99.42, -19.44, none, none
"Sat Sep 16 10:54:13 2023
", -99.51, -18.96, none, none
"Sat Sep 16 10:54:13 2023
", -99.89, -18.28, none, none
"Sat Sep 16 10:54:14 2023
", -100.39, -17.41, none, none
"Sat Sep 16 10:54:14 2023
", -101.20, -16.60, none, none
"Sat Sep 16 10:54:14 2023
", -101.84, -15.82, none, none
"Sat Sep 16 10:54:14 2023
", -102.03, -15.26, none, none
"Sat Sep 16 10:54:14 2023
", -102.13, -14.63, none, none
"Sat Sep 16 10:54:14 2023
", -102.27, -13.65, none, none
"Sat Sep 16 10:54:14 2023
", -102.67, -13.19, none, none
"Sat Sep 16 10:54:14 2023
", -103.21, -13.28, none, none
"Sat Sep 16 10:54:14 2023
", -103.47, -13.30, none, none
